"record_id","species","decimalLongitude","decimalLatitude","year","basisOfRecord","coordinateUncertaintyInMeters","eventDate","issue"
164,"Crotalus triseriatus",-100.046997,19.488899,1967,"PRESERVED_SPECIMEN",,"1967-03-24T00:00:00","COORDINATE_ROUNDED;TAXON_MATCH_HIGHERRANK;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_COLLECTION_MISMATCH;DIFFERENT_OWNER_INSTITUTION"
165,"Crotalus triseriatus",-100.0429,19.493299,1967,"PRESERVED_SPECIMEN",,"1967-04-20T00:00:00","COORDINATE_ROUNDED;TAXON_MATCH_HIGHERRANK;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_COLLECTION_MISMATCH;DIFFERENT_OWNER_INSTITUTION"
166,"Crotalus triseriatus",-100.041667,24.691667,,"PRESERVED_SPECIMEN",,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_INSTITUTION;COLLECTION_MATCH_NONE"
168,"Crotalus triseriatus",-100.000441,19.248392,2013,"HUMAN_OBSERVATION",241,"2013-06-29T15:11:00","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE"
169,"Crotalus triseriatus",-99.944677,19.20958,2017,"HUMAN_OBSERVATION",2,"2017-09-14T07:59:00","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE"
170,"Crotalus triseriatus",-99.941667,19.975,1975,"PRESERVED_SPECIMEN",,"1975-12-21T00:00:00","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE"
171,"Crotalus triseriatus",-99.936389,19.483333,1967,"PRESERVED_SPECIMEN",,"1967-04-20T00:00:00","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_COLLECTION_MISMATCH;DIFFERENT_OWNER_INSTITUTION"
172,"Crotalus triseriatus",-99.935726,19.223521,2018,"HUMAN_OBSERVATION",,"2018-12-20T17:47:00","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE"
173,"Crotalus triseriatus",-99.922167,19.101333,2014,"HUMAN_OBSERVATION",,"2014-12-04T12:14:00","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE"
174,"Crotalus triseriatus",-99.897432,19.175852,2020,"HUMAN_OBSERVATION",61,"2020-10-23T08:14:00","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE"
175,"Crotalus triseriatus",-99.892282,19.201808,2013,"HUMAN_OBSERVATION",4,"2013-04-06T12:52:00","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE"
176,"Crotalus triseriatus",-99.868611,19.171667,1951,"PRESERVED_SPECIMEN",,"1951-08-18T00:00:00","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_FUZZY"
177,"Crotalus triseriatus",-99.863304,19.355736,2020,"HUMAN_OBSERVATION",,"2020-07-17T11:11:05","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE"
179,"Crotalus triseriatus",-99.85444,19.60472,1978,"PRESERVED_SPECIMEN",,"1978-10-14T00:00:00","GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;DIFFERENT_OWNER_INSTITUTION"
180,"Crotalus triseriatus",-99.849835,19.265696,2020,"HUMAN_OBSERVATION",698,"2020-04-07T10:21:17","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE"
181,"Crotalus triseriatus",-99.827202,20.0989,1972,"PRESERVED_SPECIMEN",,"1972-09-02T00:00:00","COORDINATE_ROUNDED;TAXON_MATCH_HIGHERRANK;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_COLLECTION_MISMATCH;DIFFERENT_OWNER_INSTITUTION"
183,"Crotalus triseriatus",-99.825,20.708333,,"PRESERVED_SPECIMEN",,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE"
185,"Crotalus triseriatus",-99.824722,19.15,1951,"PRESERVED_SPECIMEN",,"1951-08-18T00:00:00","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_FUZZY"
186,"Crotalus triseriatus",-99.814722,20.694444,1948,"PRESERVED_SPECIMEN",,"1948-07-14T00:00:00","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
